audio_data,emotion
"[ 0.02640062  0.03539232  0.01652286 ... -0.01046967 -0.00964127
 -0.00882592]",anger
"[ 0.01929952 -0.00065142 -0.03261375 ... -0.00202456 -0.00184551
 -0.00138256]",fear
"[ 0.13835117  0.13418327 -0.01769969 ...  0.00131879 -0.00067829
  0.00124495]",joy
"[-0.09308079 -0.05468658 -0.04986282 ... -0.01837006  0.00369056
  0.01473672]",neutral
"[ 0.02635035  0.03350794  0.03940612 ...  0.00014449 -0.00134027
 -0.00596214]",surprise
"[-0.01373744  0.020592    0.05543441 ...  0.00932628  0.00617507
  0.00317973]",sadness
"[ 0.00056171 -0.00442554  0.00460612 ...  0.05992987  0.06237337
  0.06037924]",anger
"[-0.0362704  -0.06004693 -0.05320038 ...  0.06180524  0.05336404
  0.03142574]",anger
"[ 0.00620012 -0.01173637  0.00592349 ...  0.00685036 -0.00356885
 -0.00777486]",fear
"[-0.01622881  0.00803248  0.00243659 ... -0.04654603 -0.04577355
 -0.04263963]",joy
[0.04727774 0.04946227 0.03465604 ... 0.00400139 0.00790492 0.01667529],neutral
"[ 0.00106425 -0.01654643  0.02700361 ... -0.02535754 -0.02641526
 -0.02687211]",surprise
"[ 0.03758477  0.05944326  0.06642186 ... -0.0374465  -0.04042161
 -0.0430011 ]",sadness
[0.03530841 0.03526014 0.02339846 ... 0.00033258 0.00095306 0.00154999],anger
"[-0.0237702  -0.05788913 -0.03027645 ... -0.00121956 -0.00222028
 -0.00262472]",anger
"[-0.00598347  0.00449745  0.00711973 ...  0.00054743  0.00061425
 -0.00061569]",fear
"[-0.03418469 -0.02689684 -0.04900693 ... -0.04845422 -0.04216808
 -0.0394027 ]",joy
"[-0.05776613 -0.06596259 -0.02460327 ... -0.0453526  -0.04307517
 -0.04361992]",neutral
"[ 0.01543966 -0.01177883  0.00795113 ...  0.00273927  0.0013633
 -0.00045289]",surprise
"[ 0.05025344  0.00156044 -0.02178607 ...  0.03218482  0.03119989
  0.03142878]",sadness
"[-0.00494393 -0.00473875 -0.00440709 ... -0.00280248 -0.00196774
 -0.00206879]",neutral
"[-6.2466145e-04 -1.6952421e-04 -5.9506350e-05 ... -3.8312020e-04
  2.4279536e-05  1.7173878e-04]",anger
"[-1.6540592e-04 -2.2183638e-03 -7.0556503e-04 ... -1.5254656e-05
  5.4235698e-04  7.0702634e-04]",surprise
"[-0.00447105 -0.00434719 -0.00420395 ... -0.00318795 -0.00315739
 -0.00301824]",neutral
[0.04688637 0.04646347 0.04727689 ... 0.01922489 0.01887885 0.02298171],anger
"[ 0.01659742  0.01419911  0.01213436 ... -0.00329632 -0.00229129
 -0.00078387]",anger
"[ 0.00271752  0.00256797  0.00174984 ... -0.00180624 -0.00203753
 -0.0020218 ]",joy
"[-0.00125281 -0.00217618 -0.00309118 ... -0.00220567 -0.00095459
  0.00082715]",sadness
[0.00344233 0.003498   0.00385016 ... 0.00230712 0.00277831 0.00302765],anger
[0.00898107 0.0062458  0.00615343 ... 0.0020711  0.00159618 0.0014767 ],neutral
"[-0.00758596 -0.02613993 -0.00871532 ...  0.1471103   0.14519846
  0.13603848]",anger
"[-0.00198627 -0.00240108 -0.00209467 ...  0.01121059  0.01095009
  0.0109081 ]",anger
[0.0150704  0.01593767 0.0166611  ... 0.00224578 0.00130765 0.00091054],anger
"[ 0.00232745  0.00245851  0.0007047  ... -0.00269343 -0.00379333
 -0.00376375]",neutral
"[-0.00163241 -0.0017994  -0.00186645 ...  0.00045889  0.00067506
  0.00073042]",neutral
"[ 0.00223037  0.00314334  0.00370835 ... -0.00067663 -0.00103341
 -0.00133921]",joy
"[ 0.02945152  0.03314197  0.02811563 ... -0.03416353 -0.03675015
 -0.04029245]",neutral
[0.00208698 0.00216874 0.0006796  ... 0.04632501 0.02965176 0.01331107],neutral
"[-0.00909632 -0.00435285 -0.00135401 ... -0.00471467 -0.00365067
  0.00083124]",neutral
"[-0.05030125 -0.0456033  -0.03885642 ... -0.00206587 -0.00182035
 -0.00250284]",neutral
"[ 0.01815521  0.01404016  0.00870677 ... -0.00176013 -0.00075694
  0.00060308]",anger
"[ 0.03136719  0.02837548  0.02558838 ... -0.00043374  0.00028047
  0.00162846]",neutral
[0.00115206 0.00213792 0.00223282 ... 0.0034985  0.00387237 0.00425595],neutral
"[-0.0005272   0.00017014 -0.00061593 ... -0.05158751 -0.04157528
 -0.03866026]",neutral
[0.00720449 0.00689625 0.00839998 ... 0.01011838 0.01270849 0.01126994],joy
"[-0.00190425 -0.00192198 -0.00192569 ...  0.00676955  0.00961944
  0.01382192]",anger
"[ 0.00069705  0.00117571  0.00176943 ... -0.00044749 -0.00133263
  0.00033816]",neutral
[0.00290457 0.00247676 0.00293442 ... 0.00127248 0.00198395 0.00225553],neutral
[0.06314879 0.04906204 0.03290018 ... 0.12192976 0.11361982 0.10464986],anger
"[ 0.00303455  0.00287592  0.0031761  ... -0.0042762  -0.00424557
 -0.00420817]",neutral
"[-0.00011081 -0.00018307 -0.00012047 ...  0.03649293  0.03060644
  0.02220001]",neutral
"[-0.00573858 -0.00692406 -0.00824037 ... -0.01311124 -0.01414173
 -0.01136508]",neutral
"[ 0.0128072   0.01357221  0.01381014 ... -0.00288164  0.0011683
  0.00228133]",neutral
"[ 0.00152593  0.00127735  0.00026856 ... -0.00554996 -0.00654026
 -0.00781529]",anger
"[-0.06708488 -0.06963705 -0.07403571 ... -0.00603048 -0.00578329
 -0.00601769]",neutral
"[-0.00312454 -0.00311945 -0.00308199 ...  0.00847439  0.01046083
  0.01225841]",surprise
"[-0.0162481  -0.00822488 -0.00083078 ...  0.01456691  0.01853346
  0.02090932]",neutral
"[-0.00461833 -0.00441358 -0.00286925 ... -0.059273   -0.07079648
 -0.08278081]",neutral
"[-0.00846942 -0.00661426 -0.00595707 ...  0.0073835   0.00726317
  0.00755323]",neutral
"[ 0.00279749  0.00513429  0.00620442 ... -0.00823513 -0.00803448
 -0.01369146]",neutral
"[ 0.0010493   0.00016023 -0.0002954  ... -0.00430675 -0.00502748
 -0.00529289]",joy
"[ 0.00388387  0.00375015  0.00341356 ... -0.02988639 -0.03469547
 -0.03669779]",joy
"[-0.00293801 -0.00251047 -0.0026312  ... -0.00906534 -0.00964669
 -0.00978866]",joy
"[-0.0101502  -0.00376002  0.00335279 ... -0.01420562  0.00168939
  0.00981897]",joy
[0.00294362 0.00354741 0.00330154 ... 0.00511661 0.0037992  0.00339725],joy
"[-4.2740069e-03 -1.1189579e-02 -1.8227700e-02 ...  1.1400885e-03
  3.7335680e-04 -6.1062223e-05]",joy
[0.04143787 0.07801154 0.10707496 ... 0.26781616 0.25646386 0.23232234],neutral
"[-0.00323171 -0.00492238 -0.00684215 ...  0.01115328  0.01204603
  0.01225018]",neutral
"[-0.0484236  -0.03331158 -0.01851211 ... -0.01451275 -0.00964245
 -0.00393763]",anger
"[-0.00188078 -0.00250812 -0.00289082 ...  0.00365553  0.00140312
 -0.00069055]",neutral
"[ 0.00199299  0.00211909  0.00180431 ... -0.01097029 -0.01438535
 -0.01823232]",neutral
"[ 0.0900885   0.08206268  0.0712934  ... -0.04175178 -0.06738721
 -0.09445755]",anger
"[ 0.03276157  0.02674335  0.02703548 ...  0.00290813 -0.00374149
 -0.01098803]",neutral
"[-0.00880019 -0.00843421 -0.00787628 ...  0.02311988  0.02038705
  0.01765588]",neutral
[0.0667838  0.06964923 0.06769097 ... 0.00390571 0.00657737 0.00928653],anger
"[-0.05377763 -0.04256586 -0.03286773 ... -0.00147978 -0.001088
 -0.00074193]",anger
"[-0.04000671 -0.03537368 -0.02178256 ...  0.01382766  0.01896654
  0.01928238]",anger
"[ 0.03987257  0.0524517   0.06156553 ... -0.08280332 -0.10355504
 -0.08822826]",anger
"[-0.0293764  -0.03235036 -0.03566935 ...  0.0046113   0.00408774
  0.0034593 ]",anger
[0.00317234 0.00308112 0.00327402 ... 0.00121444 0.00057898 0.00037285],anger
"[-0.00082774 -0.00149263 -0.00242645 ... -0.00542295 -0.0051952
 -0.00417729]",anger
"[-0.00191515 -0.00173253 -0.00165283 ...  0.00579655  0.00564264
  0.00534036]",anger
"[-0.00039084  0.00041527  0.00087068 ...  0.00024048  0.00065876
  0.00021684]",anger
"[ 0.00377549  0.00718705  0.00576157 ... -0.00579791 -0.00517237
 -0.0039604 ]",anger
[0.01167888 0.00663754 0.00569477 ... 0.0010722  0.00244079 0.00207774],anger
"[-0.00164396 -0.00210781 -0.00240293 ... -0.00014419  0.00034923
  0.00101304]",anger
"[-0.00259604 -0.00268321 -0.00336269 ... -0.00083763 -0.0007709
  0.00031237]",anger
"[ 0.03088542 -0.00343498 -0.03621563 ...  0.07949432  0.11266817
  0.13999319]",anger
[0.19604358 0.22517717 0.22016114 ... 0.01548003 0.01497473 0.01234382],anger
"[ 0.03227525  0.04224043  0.04937061 ... -0.01517454 -0.01499585
  0.0103609 ]",anger
"[-0.00532602 -0.0030274  -0.00461038 ... -0.00290991 -0.00487272
 -0.00846013]",anger
[0.00541736 0.00501273 0.00349194 ... 0.03773909 0.0357363  0.03371949],neutral
"[ 0.0185361   0.01927362  0.01977924 ... -0.00017909  0.00089519
  0.00129885]",neutral
"[-0.02363764 -0.02667152 -0.0267815  ...  0.00131139  0.00203166
  0.0026704 ]",neutral
"[-0.01766611 -0.01790037 -0.01811057 ...  0.00810635  0.00766694
  0.0085738 ]",neutral
[0.0102107  0.0094382  0.01001194 ... 0.00485257 0.00784114 0.00773241],neutral
"[ 0.01030136  0.01229072  0.01463488 ...  0.00083864  0.0001769
 -0.00017739]",neutral
"[-4.7364226e-03 -3.8626660e-03 -3.3123309e-03 ...  5.5364636e-04
  2.9359254e-04 -4.7135469e-05]",neutral
"[-0.00798644 -0.01140385 -0.01393951 ...  0.01822444  0.01642813
  0.01502777]",neutral
"[-0.00338014 -0.00294718 -0.0022349  ... -0.00137857 -0.00273299
 -0.00401305]",neutral
"[-0.01599142 -0.01686146 -0.01701756 ... -0.01447509 -0.01357916
 -0.01221324]",neutral
"[-0.00397707 -0.00275016 -0.00149011 ... -0.00104728 -0.0005295
  0.0001987 ]",neutral
[0.00110873 0.00024085 0.00039866 ... 0.01931654 0.01953551 0.01987481],neutral
"[-0.00572461 -0.00471606 -0.00378368 ...  0.0724604   0.08426686
  0.09273665]",neutral
[0.00265625 0.00188869 0.00173529 ... 0.00160353 0.0024854  0.00267431],neutral
"[-0.00034621  0.0011247   0.00237899 ... -0.00129977 -0.00353393
 -0.00528184]",neutral
"[-0.02622258 -0.02609661 -0.02548214 ... -0.00787758 -0.00192369
  0.00347136]",neutral
"[-0.00321574 -0.00244504 -0.00168186 ... -0.00060441 -0.00166434
  0.00218644]",neutral
"[-3.0492013e-04  4.7284761e-05  5.2983873e-04 ... -5.1819172e-04
  8.6308154e-04  1.2830615e-03]",neutral
"[-0.00222309 -0.00990655 -0.01740078 ...  0.00730621 -0.01547107
 -0.04090683]",neutral
"[-0.00405166 -0.00434283 -0.00387755 ... -0.00072147  0.00023387
  0.00096303]",neutral
"[ 0.00192178  0.00041731 -0.00023539 ... -0.0242289  -0.02589906
 -0.0274968 ]",neutral
"[ 0.00027513  0.00062825  0.00091308 ... -0.00081019 -0.00030258
 -0.00055589]",neutral
[0.00772251 0.00778327 0.00880773 ... 0.00176811 0.00569688 0.0070462 ],neutral
"[-6.1021390e-04 -1.6076352e-04  6.5248823e-06 ... -2.9457090e-03
 -2.5231347e-03 -2.8885715e-03]",neutral
"[-0.0017726  -0.0039085  -0.00765775 ...  0.0028809   0.00313129
  0.00336917]",neutral
"[ 0.012833    0.0155326   0.01746129 ... -0.01879454 -0.02079764
 -0.02244267]",anger
"[-0.00465018 -0.00499909 -0.00533211 ... -0.0117786  -0.01291439
 -0.01412553]",anger
"[-0.00181844 -0.0031091  -0.00427515 ...  0.00669036  0.00701631
  0.00672428]",neutral
[0.00100634 0.00065155 0.00073663 ... 0.01219303 0.01271687 0.01307213],neutral
"[-0.0120071  -0.00608505 -0.00171283 ... -0.00933332 -0.0098052
 -0.01027686]",anger
"[-0.00699739 -0.00818123 -0.00981648 ...  0.02879012  0.03802319
  0.04678688]",anger
"[ 0.00040244 -0.00472472 -0.00872332 ... -0.01637935 -0.01555756
 -0.01614375]",anger
"[-0.0030896  -0.00196363 -0.00085036 ... -0.00862426 -0.00841389
 -0.00807313]",surprise
"[ 0.00500038  0.00163673 -0.00223455 ...  0.05287532  0.06143636
  0.06793972]",surprise
"[-0.00207067 -0.00263301 -0.00235121 ... -0.00813136 -0.0084851
 -0.00848371]",surprise
"[-0.00489419 -0.00392698 -0.0034256  ... -0.00168612 -0.00204174
 -0.00175599]",sadness
"[-0.00477798 -0.00605184 -0.00654486 ...  0.00410292  0.00374344
  0.00389812]",sadness
[0.00163309 0.00147347 0.00053049 ... 0.00028181 0.00062368 0.0011726 ],sadness
"[-0.01762338 -0.01668206 -0.01613706 ... -0.00580993 -0.00512868
 -0.00438631]",anger
"[ 0.00112826  0.0020855   0.00202324 ... -0.04258093 -0.03740256
 -0.03151768]",anger
[0.00134783 0.00073    0.00021456 ... 0.00110406 0.00156142 0.00183143],surprise
"[ 0.04752874  0.05109099  0.05611558 ...  0.00071804 -0.00038905
 -0.0006728 ]",anger
"[ 8.2635228e-03  8.7499693e-03  9.5906816e-03 ...  1.9951076e-03
 -8.3652441e-05 -4.1011521e-03]",anger
"[ 0.0011302   0.00091288  0.00069794 ... -0.0264229  -0.03023275
 -0.03644698]",anger
"[-0.00180301 -0.00119037 -0.00050101 ... -0.0019385  -0.00246513
 -0.00256968]",anger
"[-0.00440016 -0.00428177  0.01197173 ...  0.12005913  0.09913502
  0.0656645 ]",anger
"[ 0.00112919  0.00085482  0.00104548 ... -0.00066729 -0.00088955
 -0.00102254]",anger
"[ 0.00837646 -0.01186877 -0.03731237 ... -0.09689017 -0.0952896
 -0.08776885]",anger
"[ 0.29166958  0.19735026  0.14380156 ... -0.12224296 -0.17439182
 -0.21653284]",anger
"[-0.00406886 -0.00807392 -0.01015435 ...  0.0007796   0.000492
  0.00199418]",anger
"[-0.0033753  -0.00278358 -0.00300404 ...  0.11360655  0.13196479
  0.14802828]",anger
"[ 0.49340764 -0.06828367 -0.5623954  ...  0.41434944  0.37595832
  0.31210554]",anger
[0.01028901 0.03447536 0.03305072 ... 0.04903813 0.04557161 0.04170382],neutral
"[-0.00569906 -0.00530405 -0.00504214 ... -0.0089047  -0.00905415
 -0.00876187]",neutral
"[ 0.01947724  0.02217176  0.01898727 ... -0.18252295 -0.32447028
 -0.40442127]",anger
"[-0.05237657 -0.05260538 -0.05223879 ... -0.00198171 -0.00249178
 -0.00365389]",anger
"[-0.01398811 -0.03129393 -0.04924167 ... -0.00604371  0.00421502
  0.01351056]",anger
"[-0.00861836 -0.01055437 -0.01152001 ...  0.02959397  0.00596872
 -0.03150783]",anger
"[ 6.8126165e-04  7.8415184e-04  9.9647115e-04 ... -1.8918593e-03
 -4.5339693e-04  6.2104955e-05]",sadness
"[-0.00161026 -0.00060302 -0.00042354 ...  0.0104593   0.01305616
  0.01517013]",anger
[0.00452144 0.00312085 0.00197768 ... 0.00112502 0.00105631 0.00128217],surprise
"[-1.9507384e-01 -5.7355322e-02  4.1714072e-02 ... -2.4977484e-04
  1.2327943e-04  2.6612755e-04]",anger
"[-0.05660043 -0.12324324 -0.16539612 ...  0.29011232  0.17612375
  0.12080774]",anger
"[ 0.16559842  0.16335076  0.16584758 ... -0.07304291  0.01293178
  0.11399946]",anger
[0.07952412 0.08717834 0.09420431 ... 0.01230252 0.01027873 0.00825988],anger
"[ 0.01301994  0.00578646  0.00203063 ... -1.0010201  -0.99113965
 -0.9878671 ]",anger
[0.05164718 0.05211276 0.04947586 ... 0.0039083  0.00565322 0.00889033],anger
"[ 0.1528274   0.05767868 -0.03517407 ... -0.00798517 -0.00780564
 -0.00847647]",anger
"[-0.00546686 -0.00530001 -0.00529396 ...  0.00063919  0.00084226
  0.00115256]",anger
[0.00203593 0.00159814 0.00081603 ... 0.00446578 0.00373996 0.00299095],neutral
"[-0.00150354 -0.00079915 -0.00018447 ...  0.00717877  0.00303305
  0.00422715]",neutral
"[ 1.0431481e-04  3.2400145e-05 -1.2804358e-03 ... -1.1006005e-02
 -1.0236489e-02 -9.1908081e-03]",sadness
"[-1.1900360e-03 -2.2213145e-04 -6.7625806e-05 ... -1.3790030e-03
 -1.2619377e-03 -7.8244827e-04]",sadness
[0.0098132  0.01028316 0.01052573 ... 0.00045891 0.00125539 0.00131344],sadness
"[-7.5537543e-04 -4.6686214e-04  9.4832707e-05 ...  2.5456795e-03
  4.2617330e-03  5.4990212e-03]",sadness
[0.00536469 0.00545751 0.00513679 ... 0.00024397 0.00033745 0.00097671],sadness
"[ 0.00247913  0.0024939   0.00252764 ... -0.0159585  -0.0146133
 -0.01399356]",anger
[0.00277966 0.00421527 0.00715318 ... 0.02261964 0.02525574 0.02682245],anger
"[-0.0050248  -0.00420225 -0.00360129 ... -0.08760034 -0.09697872
 -0.10433143]",anger
"[ 0.00758276  0.00787838  0.00798996 ... -0.00164649 -0.00129361
 -0.0009136 ]",anger
"[-0.00819001 -0.00806428 -0.00728247 ...  0.00529983  0.00494107
  0.00447442]",anger
"[-0.00177375 -0.00190984 -0.00168977 ...  0.00182282  0.00329279
  0.00429804]",anger
"[ 4.4855829e-03  4.2684833e-03  4.0273890e-03 ... -2.5867601e-05
  1.2360194e-03  3.5420922e-04]",anger
"[ 0.00238164  0.00215823  0.00249191 ... -0.00306333 -0.00305518
 -0.00301621]",neutral
"[ 3.9124809e-04  4.0769705e-04  1.8697989e-05 ... -1.1310617e-03
 -1.3912970e-03 -2.0234401e-03]",anger
"[ 0.00553831  0.02780342  0.04107096 ... -0.00086696 -0.00251826
 -0.00307905]",anger
"[ 0.04084758  0.03333148  0.02793605 ... -0.04430746 -0.07443935
 -0.07257195]",anger
"[-0.03761071 -0.03650367 -0.02439834 ... -0.00170824 -0.00172562
 -0.00156558]",anger
"[-0.01026729 -0.02569163 -0.03667339 ... -0.00918409 -0.01048095
 -0.00911075]",anger
"[-0.00527359 -0.00683469 -0.00790277 ...  0.00235305  0.00235144
  0.00253323]",anger
"[-0.00489964 -0.0049237  -0.00489235 ... -0.01169637 -0.00846492
 -0.00723728]",sadness
"[ 0.00431386  0.00437514  0.00487523 ... -0.00321612 -0.00437965
  0.0014651 ]",anger
[0.00197718 0.0023379  0.00112856 ... 0.00348939 0.00495203 0.00580883],anger
"[-0.0230169  -0.02083907 -0.01843538 ...  0.02066432  0.01875699
  0.01654598]",anger
"[-0.00518104 -0.00579507 -0.0057903  ... -0.02007461 -0.01915552
 -0.01768385]",anger
"[-0.0006166  -0.00160223  0.00159973 ... -0.03763597 -0.0419802
 -0.05121652]",anger
[0.00397511 0.00446906 0.00455079 ... 0.01840461 0.02118566 0.02431417],anger
"[-0.00100702 -0.00147015 -0.00181817 ...  0.20900622  0.2161859
  0.24127403]",anger
"[-0.04677849 -0.0350287  -0.02296846 ...  0.00207769  0.0016373
 -0.00096152]",anger
"[-0.00690451 -0.00681193 -0.00650869 ...  0.00139778  0.00092821
  0.00055984]",anger
"[-0.00253923 -0.00284533 -0.00282025 ... -0.004228   -0.00402391
 -0.00363796]",neutral
"[-0.02777442 -0.04330367 -0.05310649 ...  0.00430496  0.00362671
  0.00329364]",sadness
"[-0.08336897 -0.08246221 -0.07878245 ... -0.0009057  -0.00141493
 -0.00081898]",sadness
[0.00447702 0.02223037 0.02015848 ... 0.00283419 0.00263744 0.00299946],anger
"[-0.0021371  -0.00245701 -0.00303272 ...  0.00492951  0.00481387
  0.00534242]",sadness
[0.0069102  0.0065398  0.00586772 ... 0.00850687 0.00888934 0.00974544],anger
"[ 0.0193973   0.01565639  0.01328582 ... -0.00587619 -0.0054597
 -0.00504951]",anger
[0.04847058 0.06121865 0.05546593 ... 0.08938303 0.09019303 0.09006347],anger
"[ 0.04332881  0.06723071  0.08364114 ... -0.10457207 -0.09909239
 -0.06964441]",anger
"[-0.00632743 -0.00629041 -0.00575302 ... -0.00228324 -0.00223768
 -0.00243081]",anger
"[ 0.10814279  0.11176045  0.11254869 ... -0.02200404 -0.00287111
  0.00449701]",anger
"[-0.13465412 -0.14815235 -0.15718247 ... -0.05018596 -0.03116328
 -0.0005088 ]",anger
[0.28909513 0.30778095 0.2585118  ... 0.4773302  0.39306194 0.40781265],anger
"[-0.11449091 -0.09364966 -0.06278268 ...  1.0149393   0.9227673
  0.5501766 ]",anger
"[ 0.00142195  0.00167566  0.00217771 ... -0.00671369 -0.01793262
 -0.02863106]",neutral
"[-0.01058013 -0.01084643 -0.0113516  ...  0.01452235  0.01414296
  0.01383353]",neutral
"[-0.04847861 -0.0520948  -0.05483346 ...  0.00143008  0.00097865
  0.00184803]",anger
[0.00421747 0.0042291  0.00444625 ... 0.00279108 0.00346464 0.00201662],anger
[0.00142368 0.00213782 0.00294484 ... 0.00349185 0.00299922 0.00230717],anger
"[-0.03771101 -0.0033562   0.02758431 ...  0.00261201  0.00219645
  0.0016188 ]",anger
"[-0.00566543 -0.00591971 -0.00499456 ...  0.03770817  0.05139337
  0.05992404]",anger
"[-0.04456446 -0.04525898 -0.0458233  ... -0.00085135 -0.00053579
 -0.00075855]",neutral
"[ 2.8921408e-05 -5.0086644e-04  2.6018271e-05 ... -3.1418807e-03
 -3.2989657e-03 -3.7838090e-03]",anger
"[ 0.083318    0.0695402   0.05734283 ...  0.08842201  0.04240539
 -0.04160373]",anger
"[-0.00138327 -0.00148235 -0.00177104 ... -0.00120798 -0.0028923
 -0.00336785]",anger
[0.21051684 0.20916685 0.20464441 ... 0.00262202 0.00224944 0.00756108],anger
"[ 0.06029574  0.04935023  0.0498585  ...  0.00897812 -0.02408274
 -0.0516954 ]",anger
"[-0.02480916 -0.02575499  0.00432948 ...  0.17072053  0.22702795
  0.29462627]",anger
"[-0.16086015 -0.13421088 -0.10335317 ... -0.41560325 -0.49717712
 -0.55805844]",anger
"[-0.00241895 -0.00276758 -0.00313945 ... -0.00107073 -0.00128089
 -0.00135923]",anger
"[-0.09828486 -0.07762992 -0.05661376 ...  0.00579026  0.0058566
  0.00563452]",anger
"[-0.00195742 -0.00163774 -0.00220611 ...  0.00255373  0.00193074
  0.00155574]",neutral
"[-0.00363966 -0.0038642  -0.00396734 ...  0.00706253  0.00830934
  0.00800875]",neutral
[0.00203085 0.00176865 0.00177773 ... 0.00129343 0.00132218 0.00148206],neutral
[0.0078155  0.00849282 0.00851348 ... 0.00988968 0.00984    0.00978854],sadness
"[-0.001354   -0.00204122 -0.00219667 ...  0.00129773  0.00057403
  0.00026915]",sadness
"[-0.0056931  -0.00535318 -0.00451904 ... -0.00412992 -0.00205847
 -0.00358118]",sadness
"[ 0.00231064  0.00250497  0.00222046 ... -0.0025555  -0.00252269
 -0.00256149]",sadness
"[ 0.00014953 -0.00050397 -0.00060776 ... -0.00302982 -0.00329043
 -0.00302407]",neutral
"[-0.00233251 -0.00086994  0.0001328  ... -0.00739456 -0.007871
 -0.00726858]",neutral
"[-0.01660541 -0.01599193 -0.01475466 ...  0.0168767   0.01553932
  0.01482553]",neutral
"[-0.00972553 -0.00987319 -0.00968055 ... -0.00767776 -0.0078372
 -0.00707796]",neutral
[0.00598977 0.00538732 0.00517834 ... 0.00279591 0.00386666 0.0044791 ],neutral
"[ 8.4918151e-03  9.3130516e-03  8.5578188e-03 ... -4.8295478e-05
  1.0427516e-03  1.9495366e-03]",neutral
[0.00875628 0.00924656 0.00933334 ... 0.00164904 0.00102973 0.00121351],neutral
"[ 0.00267986  0.00210002  0.0015357  ... -0.00280265 -0.00203324
 -0.00071875]",neutral
[0.00132658 0.00200106 0.00249702 ... 0.00477191 0.00644874 0.00709292],neutral
"[-0.0106446  -0.0108693  -0.01061719 ...  0.01215512  0.01255751
  0.0124625 ]",neutral
"[-0.0072053  -0.00623968 -0.00567525 ...  0.00015271 -0.00011201
 -0.00116942]",neutral
"[ 0.01396304  0.01418093  0.01394649 ... -0.00290486 -0.00360134
 -0.00328788]",neutral
"[-0.00585326 -0.00501752 -0.00369765 ...  0.00099661  0.00100299
  0.00030118]",neutral
"[ 0.00545751  0.00546098  0.00598285 ... -0.00091859 -0.00153102
 -0.00209089]",neutral
[0.00270683 0.00272917 0.00305596 ... 0.00045604 0.00113873 0.00222716],neutral
"[ 0.00510206  0.0043656   0.00328099 ... -0.00197484 -0.00229547
 -0.00300247]",neutral
"[-0.00301568 -0.00302909 -0.0030559  ...  0.00775837  0.00655956
  0.00598924]",neutral
[0.00217585 0.00184237 0.00152342 ... 0.00257591 0.00182493 0.00165063],neutral
"[ 0.04687048  0.0476522   0.04855458 ... -0.00336185 -0.00388244
 -0.00371271]",neutral
"[-0.00098438 -0.00130491 -0.00100108 ... -0.0023506  -0.00175652
 -0.00068184]",sadness
"[-0.00516784 -0.00362295 -0.00248846 ... -0.00231858 -0.00207448
 -0.00120544]",sadness
"[ 0.00627221  0.00656996  0.00703582 ... -0.004888   -0.00394042
 -0.00345298]",sadness
[0.0122075  0.01221268 0.01210173 ... 0.00055853 0.00039633 0.00012044],sadness
[0.00152262 0.00098866 0.00106099 ... 0.00035038 0.00183435 0.00442476],sadness
"[8.3076768e-05 7.6578730e-03 1.4176095e-02 ... 1.0128678e-03 6.5497839e-04
 1.6685561e-04]",sadness
"[-0.00293953 -0.00289837 -0.00223356 ... -0.00213377  0.00124302
  0.00250417]",sadness
"[-0.01061916 -0.01015834 -0.00973713 ... -0.00383832 -0.00395653
 -0.00273329]",sadness
"[ 0.00390899  0.0038026   0.00388271 ... -0.01055636 -0.01016439
 -0.00921519]",sadness
"[ 4.2225709e-04  4.6477235e-05  2.5151871e-04 ... -1.4005289e-03
 -1.9703512e-03 -2.4301617e-03]",sadness
"[ 0.00501106  0.0045982   0.00407647 ... -0.00157466 -0.00127656
 -0.00122965]",sadness
"[ 1.0176285e-02  9.2224739e-03  8.5645719e-03 ... -2.6034139e-04
  1.1038323e-05  2.5684498e-05]",sadness
"[-0.00505858 -0.00530753 -0.00547581 ... -0.00842711 -0.00674895
 -0.00577145]",sadness
"[-0.00431312 -0.00375214 -0.00222859 ...  0.00970544  0.00883201
  0.00818748]",sadness
"[ 0.0106378   0.01120517  0.01107875 ... -0.00083192 -0.0016796
 -0.00013485]",sadness
[0.00439771 0.00422174 0.00402169 ... 0.00280526 0.003032   0.00369312],sadness
"[-0.00121167 -0.00072596 -0.00077169 ...  0.00135857  0.00167456
  0.00169659]",sadness
"[-0.02443469 -0.02380229 -0.02325147 ... -0.00876205 -0.00476226
 -0.00498839]",sadness
"[ 5.2894289e-03  3.6603406e-03  3.9760401e-03 ...  3.9871802e-04
 -5.7003614e-05 -2.9677083e-04]",sadness
"[-4.7147128e-04 -5.9248268e-06  5.4494204e-04 ... -5.8141979e-04
 -4.7998852e-04 -2.5412202e-04]",sadness
"[-0.00566452 -0.00560721 -0.00540236 ...  0.00810891  0.00749114
  0.00694096]",sadness
"[-1.5980935e-03 -1.1028810e-03 -6.1151746e-04 ... -1.4483434e-05
 -1.4668943e-03 -1.7337552e-03]",sadness
[0.00190369 0.00240969 0.00225436 ... 0.01772675 0.01645933 0.0141923 ],sadness
[0.00372743 0.00423918 0.0050971  ... 0.00220955 0.00219683 0.0021676 ],sadness
[0.00280151 0.00251512 0.00252028 ... 0.00164019 0.00178959 0.00190256],sadness
"[1.0473423e-02 9.4084060e-03 7.9467567e-03 ... 9.2133530e-05 9.9984626e-04
 1.6673636e-03]",sadness
"[ 0.00385     0.00354866  0.00324277 ... -0.00908595 -0.00878277
 -0.00850325]",sadness
"[-0.02700936 -0.02418414 -0.01907392 ... -0.0005682  -0.00069238
 -0.00085917]",sadness
